,address,comment,created_at,id,location,parent_id,parent_info,survey,user_id
49, United States of America,Oasis Kjorstad 11BX,2018-04-23T16:06:42.142Z,5ade0492ac456d0020f58acf,"[48.0530478675775, -103.518667656909]",,,,5a9d75ffe94c28205a293d75
50,500 19th Avenue Southeast 58701 Minot United States of America,John ND trk stk,2018-04-22T22:22:40.626Z,5add0b31dc4b240a6843660f,"[48.2132137925865, -101.28649613993]",,,,5a9d75ffe94c28205a293d75
51,500 19th Avenue Southeast 58701 Minot United States of America,Storage,2018-04-21T17:05:07.783Z,5adb6f4432416f001c548396,"[48.2130970103878, -101.286778741234]",,,,5a9d75ffe94c28205a293d75
52,554 19th Avenue Southeast 58701 Minot United States of America,"Storage Minot, ND",2018-04-27T12:23:46.454Z,5ae316529afade20b5469183,"[48.2131349193452, -101.285826319316]",,,,5a9d75ffe94c28205a293d75
53, United States of America,Oasis Crane 5B,2018-04-23T16:04:15.285Z,5ade03ffac456d0020f58ac2,"[48.0530478675775, -103.518667656909]",,,,5a9d75ffe94c28205a293d75
54,500 19th Avenue Southeast 58701 Minot United States of America,John ND trk stk,2018-04-22T22:21:33.805Z,5add0aeedc4b240a52436610,"[48.2130963179047, -101.28677572277]",,,,5a9d75ffe94c28205a293d75
55,500 19th Avenue Southeast 58701 Minot United States of America,Storage,2018-04-21T17:06:04.620Z,5adb6f7c32416f002b548398,"[48.2131807373699, -101.286738404934]",,,,5a9d75ffe94c28205a293d75
56, United States of America,Oasis Kjorstad 11BX,2018-04-26T01:27:41.305Z,5ae12b0d8e650f0af480cdaf,"[48.0551915094047, -103.519215226432]",,,,5a9d75ffe94c28205a293d75
57,500 19th Avenue Southeast 58701 Minot United States of America,Storage. Battery disconnected,2018-04-25T21:05:43.540Z,5ae0eda78e650f001c80cde1,"[48.2131260418838, -101.28693105256]",,,,5a9d75ffe94c28205a293d75
58,,Moccasin Creek 16-26-27-13H,2018-04-22T13:36:15.921Z,5adc99a232416f1edc5483d3,"[47.4744765495421, -102.727905593148]",,,,5a9d75ffe94c28205a293d75
59,502 19th Avenue Southeast 58701 Minot United States of America,JohnS stk,2018-04-21T17:03:40.245Z,5adb6eec32416f002b548393,"[48.2129776409288, -101.286394267746]",,,,5a9d75ffe94c28205a293d75
60,1178 Shetland Lane 77493 Katy United States of America,Test,2018-04-27T14:27:52.082Z,5ae333679afade20b54691e6,"[29.7883989, -95.8297596]",,,,5a7220e9c46e6a1646322960
61, United States of America,Oasis Crane 5B,2018-04-26T01:27:08.017Z,5ae12aec8e650f0af480cdae,"[48.05771196, -103.51873898]",,,,5a9d75ffe94c28205a293d75
62, Avenue D 77493 Katy United States of America,Hou test,2018-05-23T17:05:23.604Z,5b059f54db74de0b385da712,"[29.7919463, -95.8253296]",,,,5a7220e9c46e6a1646322960
63,1449 Avenue A 77493 Katy United States of America,Test,2018-04-12T15:37:26.919Z,5acf7d36ed0e66001c77cbb6,"[29.7928414, -95.8213743]",,,,5a7220e9c46e6a1646322960
64,1449 Avenue A 77493 Katy United States of America,Test,2018-04-12T15:22:37.606Z,5acf79bced0e66001c77cbaf,"[29.7928414, -95.8213743]",,,,5a7220e9c46e6a1646322960
65, Shetland Lane 77493 Katy United States of America,Test,2018-04-12T15:19:48.863Z,5acf7914ed0e66001f77cbe5,"[29.7898033, -95.8289523]",,,,5a7220e9c46e6a1646322960
66,1077 East County Road 124 79706 United States of America,At the shop,2018-05-16T14:47:10.052Z,5afc446ebf442c15e5c51af0,"[31.9561115749528, -102.049415964493]",,,,5a9d7488e94c28205a293d4e
67, Park Lane Drive 15126 United States of America,Pitt,2018-05-23T16:48:19.693Z,5b059b53db74de0b565da703,"[40.4560977907941, -80.1882542949565]",,,,5a9d7349e94c28207a293d0b
68, Park Lane Drive 15126 United States of America,Pitt,2018-05-23T16:48:35.942Z,5b059b64db74de0b565da704,"[40.4561219955853, -80.1882614110431]",,,,5a9d7349e94c28207a293d0b
69, East County Road 140 79706 United States of America,Miles 25F6H Pionneer,2018-05-18T04:34:44.076Z,5afe57e4707ced001cb200c5,"[31.9337147561078, -102.031391585858]",,,,5a9d7488e94c28205a293d4e
70,1077 East County Road 124 79706 United States of America,At the shop,2018-05-17T14:33:15.615Z,5afd92acef6fd50ac705fe85,"[31.9560653861561, -102.04941266311]",,,,5a9d7488e94c28205a293d4e
71, United States of America,Berquist 9T,2018-04-24T23:31:48.317Z,5adfbe65ff1f660b4ff555f4,"[47.9630675191356, -103.221322591495]",,,,5a9d75ffe94c28205a293d75
72,500 19th Avenue Southeast 58701 Minot United States of America,John ND trk stk,2018-04-22T22:24:50.598Z,5add0bb3dc4b240a52436615,"[48.2124270130099, -101.286618801716]",,,,5a9d75ffe94c28205a293d75
73,500 19th Avenue Southeast 58701 Minot United States of America,Storage,2018-04-21T17:04:40.493Z,5adb6f2832416f002b548396,"[48.2131764819773, -101.286596679079]",,,,5a9d75ffe94c28205a293d75
74, Shetland Lane 77493 Katy United States of America,Test,2018-04-06T14:17:30.682Z,5ac7817b478122001c4c8b70,"[29.7898033, -95.8289523]",,,,5a7220e9c46e6a1646322960
75,1081 East County Road 124 79706 United States of America,At the shop,2018-05-14T17:29:28.963Z,5af9c779468ad50b7981856d,"[31.9561111354142, -102.049339922565]",,,,5a9d7488e94c28205a293d4e
76, United States of America,Oasis Crane 2TX,2018-04-23T16:05:55.261Z,5ade0463ac456d001cf58ace,"[48.0530478675775, -103.518667656909]",,,,5a9d75ffe94c28205a293d75
77,500 19th Avenue Southeast 58701 Minot United States of America,John ND trk stk,2018-04-22T22:23:15.806Z,5add0b54dc4b240a52436612,"[48.213231046138, -101.286429084602]",,,,5a9d75ffe94c28205a293d75
78,500 19th Avenue Southeast 58701 Minot United States of America,Storage,2018-04-21T17:06:53.788Z,5adb6fae32416f002b54839a,"[48.2124000372692, -101.286839205497]",,,,5a9d75ffe94c28205a293d75
79, Shetland Lane 77493 Katy United States of America,Test,2018-04-06T13:50:32.690Z,5ac77b29478122001f4c8b61,"[29.7902472, -95.8292414]",,,,5a7220e9c46e6a1646322960
80,1075 East County Road 124 79706 United States of America,At the shop,2018-05-14T17:21:51.881Z,5af9c5b0468ad50b7981856a,"[31.95597348074, -102.049423626463]",,,,5a9d7488e94c28205a293d4e
81,540 19th Avenue Southeast 58701 Minot United States of America,Shipping back to shop,2018-04-27T12:39:52.738Z,5ae31a199afade20d4469198,"[48.212888940521, -101.28600467813]",,,,5a9d75ffe94c28205a293d75
82, United States of America,Moccasin Creek ID1,2018-04-22T14:22:17.797Z,5adc9a9b32416f1edc5483d5,"[47.4752071472225, -102.726551779454]",,,,5a9d75ffe94c28205a293d75
83,500 19th Avenue Southeast 58701 Minot United States of America,JohnS stk,2018-04-21T17:01:52.254Z,5adb6e8032416f001c548392,"[48.2130784020883, -101.286691452783]",,,,5a9d75ffe94c28205a293d75
84, Shetland Lane 77493 Katy United States of America,Test,2018-04-06T13:48:30.171Z,5ac77aae478122001f4c8b60,"[29.7902439, -95.8292488]",,,,5a7220e9c46e6a1646322960
85,1081 East County Road 124 79706 United States of America,At the shop,2018-05-14T17:40:12.574Z,5af9c9fc468ad50b79818588,"[31.9561114350897, -102.049339745232]",,,,5a9d7488e94c28205a293d4e
86,1081 East County Road 124 79706 United States of America,At the shop,2018-05-17T15:42:36.013Z,5afda2ecef6fd50ac705fed5,"[31.956111642825, -102.049343084326]",,,,5a9d7488e94c28205a293d4e
87,1079 East County Road 124 79706 United States of America,At the shop,2018-05-14T17:41:37.874Z,5af9ca52468ad50b988185ac,"[31.9560947069513, -102.049349906008]",,,,5a9d7488e94c28205a293d4e
88,1073 East County Road 124 79706 United States of America,At the shop,2018-05-17T15:42:00.273Z,5afda2c9ef6fd50ac705fed0,"[31.9560143434616, -102.0494800062]",,,,5a9d7488e94c28205a293d4e
89,1081 East County Road 124 79706 United States of America,At the shop,2018-05-14T17:41:13.990Z,5af9ca3a468ad50b988185a8,"[31.9561113548108, -102.049339793222]",,,,5a9d7488e94c28205a293d4e
